QuestionID,Question
Q01,Eating 2 or more fruits daily
Q02,Eating 3 or more vegetables daily 
Q03,Experiencing frequent mental distress
Q04,Have high blood pressure and taking medication for it
Q05,Have fallen and sustained an injury within last year
Q07,Lost 5 or fewer teeth due to decay or gum disease
Q08,Average number of physically unhealthy days in the past month
Q09,At risk adults (e.g diabetics or smokers) who ever had a pneumococcal vaccine
Q10,Up-to-date with recommended vaccines and screenings - Men
Q11,Up-to-date with recommended vaccines and screenings - Women
Q12,Received a mammogram within the past 2 years - Women
Q13,"Currently obese, with a body mass index (BMI) of 30 or more"
Q14,Had cholesterol checked in past 5 years
Q15,Had colorectal cancer screening within the past 10 years
Q16,Had no leisure-time physical activity within past month
Q17,Smoking every day or some days
Q18,Recieved influenza vaccine within the past year
Q19,Non-diabetics who had a blood sugar test within past 3 years
Q20,Had pap test within past 3 years - Women
Q21,Binge drinking within the past 30 days
Q22,Have high blood pressure
Q27,Have a lifetime diagnosis of depression
Q30,Cognitive decline or memory loss that is getting worse in the last 12 months
Q31,Cognitive decline or memory loss that interferes with social life or ability to do chores
Q32,"Self-reported health of ""fair"" or ""poor"""
Q33,"Self-reported health of ""good"", ""very good"", or ""excellent"""
Q34,Getting sufficient sleep (over 6 hours)
Q35,Average number of days with activity limitations in the past month
Q36,Provided care for a friend or family member within the past month
Q37,Expected to provide care for someone in the next two years
Q38,Provided care to a friend or family member for six months or more
Q39,Provided average of 20 or more hours of care per week to a friend or family member
Q40,Provided care for someone with dementia or other cognitive impairment within the past month
Q41,Need assistance with day-to-day activities because of cognitive decline or memory loss
Q42,Talked with health care professional about cognitive decline or memory loss
Q43,Have arthritis
Q44,Have severe joint pain due to arthritis 
Q45,Fair or poor health among older adults with arthritis
Q46,Reported having a disability (physical or mental)
